cluster,topic,dept,n,sample,prominence,dept_counts
Spatial Dynamics in Real Estate Valuation Models,Geographically Weighted Regression in Spatial Analysis,Matematika,9,"[""Spatial-Temporal Epidemiology of COVID-19 Using a Geographically and Temporally Weighted Regression Model"", ""Determination of the best knot and bandwidth in geographically weighted truncated spline nonparametric regression using generalized cross validation"", ""Inflation of Indonesia during the COVID-19 pandemic""]",47.2,"{""Matematika"": 5, ""Ilmu Komputer dan Elektronika"": 3, ""Kimia"": 1}"
Thermal Management Innovations in Nanofluids and Heat Pipes,Thermoacoustic Systems for Energy and Cooling Applications,Fisika,9,"[""Performance evaluation of helium-based binary gas mixtures in standing-wave thermoacoustic electricity generator"", ""Analysis of a standing wave thermoacoustic engine with multiple unit stages"", ""Influence of pressure variation of air working gas on the onset temperature difference and electric power output of a standing wave thermoacoustic electricity generator""]",85.6,"{""Kimia"": 1, ""Matematika"": 2, ""Fisika"": 5, ""Ilmu Komputer dan Elektronika"": 1}"
"Biogas, Biochar, and Microbial Fuel Cells",Wastewater Treatment Innovations in Dairy Industry,Kimia,8,"[""Okara biochar immobilized calcium-alginate beads as eosin yellow dye adsorbent"", ""A porous activated carbon derived from banana peel by hydrothermal activation two-step methods"", ""Soil Toxicity Around the Textile Industry in Bantul using Spinach Seeds (Amaranthus gangeticus) and Bean Sprouts (Phaseolus aureus)""]",98.7,"{""Kimia"": 7, ""Matematika"": 1}"
Cationic Antimicrobial Peptides in Drug Development,Antimicrobial Peptides as Antibiotic Alternatives,Kimia,8,"[""Antibacterial activity of active peptide from marine macroalgae Chondrus crispus protein hydrolysate against Staphylococcus aureus"", ""Design, Structural Stability, Membrane Binding, and Antibacterial Activity of Novel Antimicrobial Peptides Derived from Wuchuanin-A1"", ""Antibacterial Peptides derived from Capra hircus Goat Milk Casein""]",58.5,"{""Kimia"": 7, ""Ilmu Komputer dan Elektronika"": 1}"
Innovative Approaches in Drug Discovery and Protein Structure,Protein Structure Modeling and Prediction Techniques,Ilmu Komputer dan Elektronika,8,"[""Deep learning for protein secondary structure prediction: Pre and post-AlphaFold"", ""Predicting Secondary Structure of Protein Using Hybrid of Convolutional Neural Network and Support Vector Machine"", ""Self-attention and asymmetric multi-layer perceptron-gated recurrent unit blocks for protein secondary structure prediction""]",95.7,"{""Ilmu Komputer dan Elektronika"": 4, ""Kimia"": 4}"
Magnetic Properties and Synthesis of Ferrite Nanoparticles,Magnetic Properties and Applications of Ferrite Nanoparticles,Fisika,8,"[""Effects of annealing temperature on microstructural, magnetic properties, and specific absorption rate of Zn-Ni ferrite nanoparticles"", ""Annealing temperature dependence of crystalline structure and magnetic properties in nano-powder strontium-substituted cobalt ferrite"", ""Green synthesized CoFe2O4/rGO nanocomposites utilizing plant leaf extracts as magnetically separable and reusable photocatalysts for organic toxic dye degradation""]",55.3,"{""Fisika"": 6, ""Matematika"": 2}"
Network Security and Intrusion Detection,Machine Learning Innovations in Intrusion Detection Systems,Ilmu Komputer dan Elektronika,8,"[""Comparison of Hybrid Intrusion Detection System"", ""A Comprehensive Approach for Detecting and Handling MitM-ARP Spoofing Attacks"", ""Feature Representation for Network Intrusion Detection System Trough Embedding Neural Network""]",95.2,"{""Ilmu Komputer dan Elektronika"": 7, ""Kimia"": 1}"
Neutron Applications in Cancer Treatment and Detection,Innovative Radiation Detection and Monitoring Systems,Fisika,8,"[""Characterization of neutron spectrum of polyethylene-moderated AmBe neutron source using a passive single-cylindrical neutron spectrometer"", ""Location Analysis for Additional Permanent Radiation Detector in XRay Radiography Unit"", ""Experimental Characterization of Dosimeter Based on a Wireless Sensor Network for A Radiation Protection Program""]",23.5,"{""Fisika"": 8}"
Quantum Well Structures in Silicon Devices,Spin Dynamics and Transport in Quantum Systems,Fisika,8,"[""Reversible spin textures with giant spin splitting in two-dimensional GaXY (X=Se, Te; Y=Cl, Br, I) compounds for a persistent spin helix"", ""Strain-controlled spin-splitting in the persistent spin helix state of two-dimensional SnSe monolayer"", ""Large band splitting with tunable spin polarization in the two-dimensional ferroelectric GaXY family (X=Se,Te; Y=Cl,Br, I)""]",31.9,"{""Fisika"": 8}"
Statistical Models for Reliability and Risk Assessment,Robust Estimators for Outlier Detection in Data,Matematika,8,"[""Non-stationary multi-layered Gaussian priors for Bayesian inversion"", ""COMPARISON OF ROBUST ESTIMATION ON MULTIPLE REGRESSION MODEL"", ""Application of Groupwise Principal Sensitivity Components on Unbalanced Panel Data Regression Model for Gross Regional Domestic Product in Kalimantan""]",57.5,"{""Matematika"": 3, ""Fisika"": 2, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 2}"
Brain-Computer Interface Technologies,Emotion Recognition through Physiological Signal Integration,Ilmu Komputer dan Elektronika,7,"[""Oversampling Approach Using Radius-SMOTE for Imbalance Electroencephalography Datasets"", ""The challenges of emotion recognition methods based on electroencephalogram signals: A literature review"", ""Modified Weighted Mean Filter to Improve the Baseline Reduction Approach for Emotion Recognition""]",91.2,"{""Ilmu Komputer dan Elektronika"": 7}"
Carbon Nanotubes in Advanced Material Applications,Adsorption Properties of Nanoclusters in Drug Delivery,Fisika,7,"[""Exploring the potential of metalloporphyrin-like C54N4 fullerene (TM-PC60F) nanoclusters as new drug delivery platform for 5-fluorouracil: A DFT and QTAIM study"", ""Interaction of 5-Fluorouracil on the Surface of Graphene Oxide Nanosheets: Stability and Electronic Properties"", ""Drug-Molecule Adsorption onto Silicon-Doped Fullerene: A Density Functional Theory Study""]",88.4,"{""Kimia"": 2, ""Fisika"": 5}"
Coastal Dynamics and Sediment Transport Mechanisms,Modeling Tsunami Generation from Submarine Landslides,Fisika,7,"[""Identification and ranking of subaerial volcanic tsunami hazard sources in Southeast Asia"", ""Topography and structural changes of Anak Krakatau due to the December 2018 catastrophic events"", ""Interactions of magmatic intrusions with the multiyear flank instability at Anak Krakatau volcano, Indonesia: Insights from InSAR and analogue modeling""]",53.7,"{""Fisika"": 5, ""Matematika"": 2}"
Data Mining Techniques for Enhanced Decision Making,Algorithms for Student Performance and Decision Support,Ilmu Komputer dan Elektronika,7,"[""A BPSO-based method for high-utility itemset mining without minimum utility threshold"", ""A Proposed Framework of Knowledge Management for COVID-19 Mitigation based on Big Data Analytic"", ""Coal rank data analytic for ASTM and PSDBMP classification""]",83.0,"{""Ilmu Komputer dan Elektronika"": 6, ""Kimia"": 1}"
Electrochemical Sensors and Molecular Imprinting Techniques,Electrochemical Detection of Hydroquinone and Catechol,Kimia,7,"[""Molecular imprinting polymer-based QCM sensor for detection of α-pinene"", ""Recent Trends and Application of Nanomaterial Based on Carbon Paste Electrodes: A Short Review"", ""Electrochemical Sensor for Hydroquinone based on Polyeugenol/PVA-Modified Graphite Electrode""]",81.0,"{""Fisika"": 1, ""Kimia"": 6}"
Fixed Point Theorems in Metric Spaces and Optimization,Fixed Point Theorems in Metric Spaces,Matematika,7,"[""Fixed-Point Theorems Involving Lipschitz in the Small"", ""Fixed point theorems for asymptotically regular semigroups equipped with generalized Lipschitzian conditions in metric spaces"", ""Global Convergence of Modified RMIL Parametein Conjugate Gradient Method""]",64.0,"{""Matematika"": 5, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Fuel Cells and Polymer Electrolytes,Catalytic Innovations in Oxygen Reduction Reactions,Kimia,7,"[""Au-Doped PtAg Nanorod Array Electrodes for Proton-Exchange Membrane Fuel Cells"", ""Novel two-dimensional square-structured diatomic group-IV materials: the first-principles prediction"", ""In-situ generation of enhanced Pd-Co nanoparticles using various stabilizing agents decorated on reduced graphene oxide as electrocatalyst for oxygen reduction reaction""]",97.8,"{""Fisika"": 3, ""Kimia"": 4}"
Innovative Approaches in Object Detection and Tracking,Innovative Approaches to Vehicle Speed Estimation,Ilmu Komputer dan Elektronika,7,"[""Vehicle Speed Estimation Using Consecutive Frame Approaches and Deep Image Homography for Image Rectification on Monocular Videos"", ""Estimation of Traffic Density Using CNN with Simple Architecture"", ""TRAFFIC DENSITY ESTIMATION BASED ON BLOCK OCCUPANCY CLASSIFICATION""]",22.5,"{""Ilmu Komputer dan Elektronika"": 5, ""Matematika"": 2}"
Integration of Robotics and Action Recognition Techniques,Human Action Recognition Systems,Ilmu Komputer dan Elektronika,7,"[""Improving Badminton Action Recognition Using Spatio-Temporal Analysis and a Weighted Ensemble Learning Model"", ""Loitering Detection Using Spatial-Temporal Information for Intelligent Surveillance Systems on a Vision Sensor"", ""The effect of image preprocessing techniques on convolutional neural network-based human action recognition""]",94.3,"{""Ilmu Komputer dan Elektronika"": 6, ""Fisika"": 1}"
Liquid Crystal Innovations in Optical Applications,Electrohydrodynamics in Nematic Liquid Crystals,Fisika,7,"[""Alignment of carbon nanotubes under the influences of nematic liquid crystals and electric fields - an analytical study"", ""Low and high-frequency electro-hydrodynamic patterns in nematic liquid crystal aligned using dual layer alignment produced by nanofiber"", ""Flows in parallelepiped cells of nematic liquid crystals""]",62.3,"{""Fisika"": 3, ""Matematika"": 2, ""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Magnetic Properties and Applications in Technology,Magneto-Optical Properties of Multilayered Films,Fisika,7,"[""First principles calculation of optical properties of transition metals for surface plasmon resonance application"", ""Optical and magneto-optical anisotropies of FeCu superlattice: Band-by-band decomposition analysis"", ""Large spin splitting and anomalous Hall effect in two-dimensional antiferromagnetic layered ternary telluride controlled by janus–strain engineering""]",81.0,"{""Fisika"": 6, ""Matematika"": 1}"
Matrix Representations and Polynomial Identities in Mathematics,Modular Functions and Theta Identities in Number Theory,Matematika,7,"[""A DICHOTOMOUS BEHAVIOR OF GUTTMAN-KAISER CRITERION FROM EQUI-CORRELATED NORMAL POPULATION"", ""On accurate asymptotic approximations of roots for polynomial equations containing a small, but fixed parameter"", ""On Eigenvalues of Complement Digraphs""]",19.8,"{""Matematika"": 6, ""Kimia"": 1}"
Quantitative Structure-Activity Relationships in Chemical Modeling,Quantitative Structure-Activity Relationships in Nanomaterials,Kimia,7,"[""QSAR modeling for predicting the antifungal activities of gemini imidazolium surfactants against Candida albicans using GA-MLR methods"", ""The predicted models of anti-colon cancer and anti-hepatoma activities of substituted 4-anilino coumarin derivatives using quantitative structure-activity relationship (QSAR)"", ""Investigation of New 4-Benzyloxy-2-trichloromethylquinazoline Derivatives as Plasmodium falciparum Dihydrofolate Reductase-thymidylate Synthase Inhibitors: QSAR, ADME, Drug-likeness, Toxicity, Molecular Docking and Molecular Dynamics Simulation""]",32.2,"{""Kimia"": 6, ""Matematika"": 1}"
Routing Protocols and Quality of Service in Networks,Vehicular Ad-hoc Network Communication,Ilmu Komputer dan Elektronika,7,"[""Performance optimization of MANET networks through routing protocol analysis"", ""Optimizing AODV Routing Protocol to Improve Quality of Service Performance for V2V Communication"", ""Learning Automata-Based AODV to Improve V2V Communication in A Dynamic Traffic Simulation""]",90.6,"{""Ilmu Komputer dan Elektronika"": 5, ""Matematika"": 2}"
Security Protocols for Cloud and Network Authentication,Homomorphic Encryption for Secure Cloud Computing,Ilmu Komputer dan Elektronika,7,"[""DataSeal: Ensuring the Verifiability of Private Computation on Encrypted Data"", ""Mobile Payment Transaction Model with Robust Security in the NFC-HCE Ecosystem with Secure Elements on Smartphones"", ""SECURE INITIALIZATION MODEL IMPROVEMENT for NFC-HCE SECURITY in MOBILE PAYMENT SYSTEM""]",79.0,"{""Ilmu Komputer dan Elektronika"": 4, ""Matematika"": 2, ""Kimia"": 1}"
Semantic Web Technologies for Enhanced Data Integration,Ontology Development in E-Learning and Modeling Languages,Ilmu Komputer dan Elektronika,7,"[""Transformation of sysML requirement diagram into OWL ontologies"", ""An Extended Rule of the SysML Requirement Diagram Transformation into OWL Ontologies"", ""ONTOLOGY BASED KNOWLEDGE MODELLING FOR INDONESIAN RICE VARIETIES""]",46.7,"{""Ilmu Komputer dan Elektronika"": 6, ""Belum terpetakan"": 1}"
Soil Moisture Dynamics and Climate Impact Assessment,Satellite-Based Precipitation Estimation and Validation,Fisika,7,"[""Evaluation of GPM IMERG Performance Using Gauge Data over Indonesian Maritime Continent at Different Time Scales"", ""Trends in rainfall and hydrometeorological disasters in new capital city of Indonesia from long-term satellite-based precipitation products"", ""Capability of GPM IMERG Products for Extreme Precipitation Analysis over the Indonesian Maritime Continent""]",63.0,"{""Fisika"": 6, ""Kimia"": 1}"
Bioactive Peptides and Antioxidant Properties in Health,Bioactive Peptides in Health and Nutrition,Kimia,6,"[""Goat Milk Casein Peptides as Potential α-Amylase Inhibitors: A Computational and Experimental Approach"", ""Rational design of novel α-amylase inhibitor peptide derived from quinoa seed peptide with in silico approaches"", ""Identification of α-Amylase Inhibitory Peptides from Tryptic Hydrolysate of Caulerpa racemosa Green Algae Protein""]",76.6,"{""Fisika"": 1, ""Kimia"": 5}"
Catalytic Innovations in Hydrogenation and Desulfurization,Ionic Liquids in Desulfurization Processes,Kimia,6,"[""Science and Technology Progress on the Desulfurization Process of Crude Oil"", ""ZnO-activated carbon blended as a catalyst for oxidative desulfurization of dibenzothiophene"", ""Simple and Green Preparation of ZnO Blended with Highly Magnetic Silica Sand from Parangtritis Beach as Catalyst for Oxidative Desulfurization of Dibenzothiophene""]",44.0,"{""Kimia"": 5, ""Ilmu Komputer dan Elektronika"": 1}"
Click Chemistry Applications in Protein and Polymer Development,Catalytic Nitration of Aromatic Compounds,Kimia,6,"[""Microwave-assisted green synthesis of nitrobenzene using sulfated natural zeolite as a potential solid acid catalyst"", ""Facile green synthesis of silver nanoparticles decorated on sulfonated graphene oxide by rambutan (Nephelium lappaceum) leaf extract and application as a catalyst for converting benzene into nitrobenzene"", ""Biogenic synthesis of silver nanoparticles/reduced graphene oxide (AgNPs/rGO) mediated Nephelium lappaceum leaf extract as an effective solid acid catalyst for liquid-phase benzene nitration""]",58.7,"{""Kimia"": 6}"
Climate Variability and Tropical Cyclone Dynamics,Madden-Julian Oscillation and Tropical Convection Dynamics,Matematika,6,"[""Rainfall variability in Indonesia new capital associated with the Madden-Julian Oscillation and its contribution to flood events"", ""Role of updraft in dry-season torrential rainfall in Greater Jakarta, Indonesia"", ""Multi-seasonal rainfall patterns over Indonesian maritime continent derived from long-term IMERG V07B data and rain gauge observations""]",92.0,"{""Fisika"": 2, ""Kimia"": 1, ""Matematika"": 3}"
Corrosion Resistance in Coatings and Materials,Layered Double Hydroxides in Corrosion Protection,Fisika,6,"[""Facile pore size control and low-cost synthesis of mesoporous silica nanoparticles based on rice husk"", ""A Simple Technique for the Corrosion Inhibition of Underwater Cannonball from a Shipwreck"", ""A sustainable and eco-friendly rice husk-derived mesoporous silica nanoparticles loaded with benzotriazole for enhanced corrosion inhibition""]",39.3,"{""Fisika"": 5, ""Kimia"": 1}"
Energy-Efficient Wireless Sensor Network Innovations,Wireless Sensor Networks in Agricultural Monitoring,Ilmu Komputer dan Elektronika,6,"[""Development of volcano warning system for kelud volcano"", ""Designing Wireless Sensor Network Routing on Agriculture Area Using the LEACH Protocol"", ""Development of an Internet of Things Based Volcano Monitoring System""]",75.8,"{""Fisika"": 2, ""Ilmu Komputer dan Elektronika"": 3, ""Matematika"": 1}"
Fire Management and Environmental Impact Assessment,Mapping Forest Fire Risks and Management Strategies,Matematika,6,"[""Utilizing Sentinel-2 Data for Mapping Burned Areas in Banjarbaru Wetlands, South Kalimantan Province"", ""Spatiotemporal Patterns of Burned Areas Based on the Geographic Information System for Fire Risk Monitoring"", ""Prediction of forest fire using ensemble method""]",74.6,"{""Matematika"": 3, ""Belum terpetakan"": 2, ""Fisika"": 1}"
Fractional Calculus Applications in Differential Equations,Existence and Solutions of Fractional Differential Equations,Matematika,6,"[""Contraction quasi semigroups and their applications in decomposing hilbert spaces"", ""Surfacewave topography using the 4 point fdm simulator"", ""Approximate Solution of GCF PDM Schrödinger Equation for a Symmetrical Modified Pöschl–Teller Potential by GCF Laplace Transform Method""]",78.8,"{""Matematika"": 3, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Gas Hydrate Reservoirs and Tectonic Dynamics,Tectonic Evolution and Rock Formation in Indonesia,Fisika,6,"[""The igneous rock intrusion beneath ambon and seram islands, eastern Indonesia, based on the integration of gravity and magnetic inversion: Its implications for geothermal energy resources"", ""Structural map of Sulawesi derives from gravity data and its implications for geothermal systems"", ""Identifying the vulnerable landforms toward climate change-related hazards on small islands using geological-geomorphological and social approaches (Kei Kecil-Tual Carbonate Islands, Southeast Maluku, Indonesia)""]",23.1,"{""Fisika"": 4, ""Matematika"": 2}"
Grid Computing and Resource Management in Cloud Environments,Job Scheduling Innovations in High-Performance Computing,Ilmu Komputer dan Elektronika,6,"[""KRYSTAL: Knowledge graph-based framework for tactical attack discovery in audit data"", ""An Advantage Actor-Critic Deep Reinforcement Learning Method for Power Management in HPC Systems"", ""Improving the Efficiency of a Deep Reinforcement Learning-Based Power Management System for HPC Clusters Using Curriculum Learning""]",19.0,"{""Ilmu Komputer dan Elektronika"": 5, ""Matematika"": 1}"
Herbicide Resistance and Weed Management Innovations,Innovative Approaches in Weed Control and Detection,Ilmu Komputer dan Elektronika,6,"[""A comprehensive survey on weed and crop classification using machine learning and deep learning"", ""Performance of 45 Non-Linear Models for Determining Critical Period of Weed Control and Acceptable Yield Loss in Soybean Agroforestry Systems"", ""Ensemble Learning Based on Feature Selection and Distance Normalization for Enhancing Corn and Weed Classification""]",77.0,"{""Ilmu Komputer dan Elektronika"": 3, ""Matematika"": 2, ""Fisika"": 1}"
Innovative Robotic Systems for Enhanced Manipulation,Humanoid Robot Dynamics and Control Mechanisms,Ilmu Komputer dan Elektronika,6,"[""Humanoid Walking Control Using LQR and ANFIS"", ""Stabilizing Quadruped Robot Movement Using Fuzzy Logic Control for Yaw Angle Adjustment in Walking and Trotting Gait"", ""LQR COMPENSATED BY FUZZY FOR KICKING BALANCE CONTROL OF A HUMANOID ROBOT""]",80.8,"{""Ilmu Komputer dan Elektronika"": 6}"
IoT Integration for Smart Agriculture and Healthcare,Smart Irrigation and Sensor Networks in Agriculture,Ilmu Komputer dan Elektronika,6,"[""A Modular Intelligent Resource Architecture: Optimizing QoS in Edge-Cloud Fusion Systems for Smart Agriculture"", ""Monitoring Intelligence Resource Architecture: Internet of Things Concept and Design Based-on Edge Nodes"", ""A Modular Intelligent Resource Architecture: Enhancing Energy Efficiency in Smart Farming with Edge-Cloud Fusion""]",91.8,"{""Ilmu Komputer dan Elektronika"": 4, ""Kimia"": 1, ""Matematika"": 1}"
Mesoporous Silica Materials for Advanced Applications,Mesoporous Silica Synthesis and Catalytic Applications,Kimia,6,"[""Application of activated bentonite impregnated with PdO as green catalyst for acylation reaction of aromatic compounds"", ""Optimizing Rice Husk Silica Mass and Sonication Time for a More Efficient and Environmentally Friendly Synthesis of SBA-15"", ""Synthesis of ordered nanoarrays activated carbon using SBA-15 as hard template for adsorption of ibuprofen""]",63.1,"{""Kimia"": 4, ""Belum terpetakan"": 1, ""Fisika"": 1}"
Quality of Service in Web Service Composition,Process Mining Techniques for Business Optimization,Ilmu Komputer dan Elektronika,6,"[""Improving efficiency for discovering business processes containing invisible tasks in non-free choice"", ""Analyzing Manufacturing Process By Enabling Process Mining on Sensor Data"", ""On the Representation of Dynamic BPMN Process Executions in Knowledge Graphs""]",48.6,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 5}"
RFID and Wireless Localization Technologies in IoT,LoRaWAN Technology for IoT Communication Systems,Ilmu Komputer dan Elektronika,6,"[""DeepFuzzLoc Positioning: A Unified Fusion of Fuzzy Clustering and Deep Learning for Scalable Indoor Localization Using Wi-Fi RSSI"", ""Developing Compact Models Using Regression Confidence Forge Knowledge Distillation for IMU-Based Indoor Positioning System"", ""Data Collection Platform Design using LEO Satellite-based LoRa for Disaster Management in Indonesia""]",78.7,"{""Ilmu Komputer dan Elektronika"": 5, ""Fisika"": 1}"
Radiomics and Image Processing in Cancer Diagnosis,Cultural Significance and Technological Integration in Batik Patterns,Ilmu Komputer dan Elektronika,6,"[""A Novel Reliable Approach for Image Batik Classification That Invariant with Scale and Rotation Using MU2ECS-LBP Algorithm"", ""Photocatalytic activity of TiO2/SiO2 prepared from silica contained in volcanic ash for ammonia removal"", ""SuroTex: Surrounding texture dataset""]",73.4,"{""Ilmu Komputer dan Elektronika"": 3, ""Kimia"": 1, ""Fisika"": 1, ""Matematika"": 1}"
Smart Homes and Activity Recognition Technologies,Deep Learning Approaches for Wildfire Detection,Ilmu Komputer dan Elektronika,6,"[""Real-Time Forest Fire Detection Framework Based on Artificial Intelligence Using Color Probability Model and Motion Feature Analysis"", ""Classification methods performance on human activity recognition"", ""Region-based annotation data of fire images for intelligent surveillance system""]",66.4,"{""Ilmu Komputer dan Elektronika"": 4, ""Fisika"": 1, ""Kimia"": 1}"
Social Media and Data-Driven Learning Insights,Harnessing Data Mining for Student Performance Insights,Ilmu Komputer dan Elektronika,6,"[""Data mining for student assessment in e-leaming: A survey"", ""A PRELIMINARY LEARNER ASSESSMENT FRAMEWORK ON E-LEARNING"", ""Utilization of Linguistic Data for Learner Assessment on e-Learning: Instrument and Processing""]",93.2,"{""Ilmu Komputer dan Elektronika"": 6}"
Ubiquinone Effects on Cancer and Marine Diversity,Microbial Interactions and Bioactive Compounds in Marine Sponges,Kimia,6,"[""Anti-Vibrio activity of Pseudoalteromonas xiamenensis STKMTI.2, a new potential vibriosis biocontrol bacterium in marine aquaculture"", ""Effect of Drying Time and Temperature to the Chemical Properties and Enzymatic Activities Related to the β-ocimene Production in Syzygium polyanthum Leaves"", ""Antiplasmodial and Metabolite Profiling of Hyrtios sp. Sponge Extract from Southeast Sulawesi Marine Using LC-HRMS, Molecular Docking, Pharmacokinetic, Drug-likeness, Toxicity, and Molecular Dynamics Simulation""]",22.6,"{""Kimia"": 4, ""Ilmu Komputer dan Elektronika"": 2}"
Waste Management Strategies for Carbon Emission Reduction,Sustainable Management of Peatland Ecosystems in Indonesia,Matematika,6,"[""INTEGRATING GOVERNMENTS BODIES IN PEATLAND ENVIRONMENTAL MANAGEMENT TO ELIMINATE THE SECTORAL EGOS"", ""The value of local wisdom for peatland fire risk reduction in the wetland area of South Kalimantan"", ""Analysis of the Profile of Canal User Communities in the Bangah River Canal Blocking Project Area in Sebangau National Park, Central Kalimantan Province""]",91.0,"{""Matematika"": 3, ""Fisika"": 3}"
Antivenom Development and Phospholipase Interactions,Snake Venom and Antivenom Dynamics,Kimia,5,"[""Bibliometric Analysis of Literature in Snake Venom-Related Research Worldwide (1933–2022)"", ""Proteome of monocled cobra (Naja kaouthia) venom and potent anti breast cancer peptide from trypsin hydrolyzate of the venom protein"", ""THE ANTIBACTERIAL PEPTIDES (AMPs) ORIGINATED FROM TRYPTIC HYDROLYSIS OF Naja sumatrana VENOM FRACTIONATED USING CATION EXCHANGE CHROMATOGRAPHY""]",26.2,"{""Kimia"": 5}"
Cholesterol Management and Antioxidant Properties in Oils,Maillard Reaction Products and Their Multifaceted Impact,Fisika,5,"[""The significance of Maillard reaction for species-specific detection gelatine in food industry"", ""Study on Volatile Compounds of Gelatine and The Maillard Reaction Products from Different Species Using SPME-GCMS"", ""Optimisation of the maillard reaction of bovine gelatine-xylose model using response surface methodology""]",81.4,"{""Fisika"": 3, ""Kimia"": 2}"
Collective Control Systems in Robotic Networks,Matrix Patterns and Properties in Linear Algebra,Matematika,5,"[""Incoming Local Exponent for a Two-cycle Bicolour Hamiltonian Digraph with a Difference of 2n + 1"", ""Nonuniform subset graphs associated with any graph"", ""Inner Local Exponent of Two-coloured Digraphs with Two Cycles of Length n and 4n + 1""]",89.5,"{""Matematika"": 3, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Critical Thinking Skills in Student Learning Outcomes,Enhancing Learning Outcomes through Innovative Models,Ilmu Komputer dan Elektronika,5,"[""Quantitative study of the cyber-nationalism spreading on twitter with hashtag indonesia and malaysia using social network analysis"", ""Analysis of design test for current and voltage meters with a constant current source for a resistivity meter"", ""A Study Experimental of Design Considerations of Constant Input Current Source""]",66.3,"{""Belum terpetakan"": 1, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 2, ""Matematika"": 1}"
Drug Delivery and Skin Protection,Innovative Sunscreen Formulations for UV Protection,Kimia,5,"[""Acute toxicity profile and sun protection factor (Spf) nanoemulgel combination of c-phenylcalix[4] resorcinaryl octacinnamate, c-methylcalix[4] resorcinaryl octabenzoate, and quercetin in vitro and in vivo"", ""Antioxidant, Photoprotective, and Cytotoxic Activities of Tristaniopsis merguensis Leaf Fractions With Molecular Docking Study of Potential Fraction"", ""C-butylcalix[4]resorcinarene octabenzoate and octasinnamate: The synthesized sunscreen compounds""]",88.6,"{""Kimia"": 5}"
Elliptic Curves and Polynomial Solutions in Number Theory,Matrix Theory and Group Structures in Mathematics,Matematika,5,"[""ROUGH X-SUB-EXACT SEQUENCES OF ROUGH MODULES"", ""Category of submodules of a uniserial module"", ""Sub-exact sequence of quotient modules""]",8.8,"{""Matematika"": 3, ""Fisika"": 1, ""Kimia"": 1}"
Erectile Dysfunction and Sexual Health Insights,Sildenafil and Dietary Supplement Adulteration Insights,Kimia,5,"[""Identification and quantification of metamizole in traditional herbal medicines using spectroscopy ftir-atr combined with chemometrics"", ""A development method of FTIR spectroscopy coupled with chemometrics for detection of synthetic drug adulterants of herbal products in quaternary mixture"", ""Application of FTIR-ATR Spectroscopy in Combination With Multivariate Analysis to Analyze Synthetic Drugs Adulterant in Ternary Mixtures of Herbal Medicine Products""]",30.4,"{""Kimia"": 4, ""Ilmu Komputer dan Elektronika"": 1}"
Ferroelectric Materials for Energy Storage Applications,Multiferroic Properties of Bismuth Ferrite Materials,Fisika,5,"[""Microstructural, optical, and magnetic properties and specific absorption rate of bismuth ferrite/SiO2nanoparticles"", ""Microstructures, magnetic properties and microwave absorption of ion-implanted bismuth ferrite thin films"", ""Effects of naoh concentration and temperature on microstructures and magnetic properties of bismuth ferrite (Bifeo3) nanoparticles synthesized by coprecipitation method""]",92.7,"{""Fisika"": 5}"
Human-Robot Interaction and Emotion Recognition Advances,Facial Expression Recognition for Enhanced Interaction,Ilmu Komputer dan Elektronika,5,"[""Regularized Xception for facial expression recognition with extra training data and step decay learning rate"", ""INCORPORATING INDOBERT INTO DIET CLASSIFIER TO ENHANCE INTENT AND ENTITY RECOGNITION IN CULINARY CHATBOT"", ""Facial Expression Recognition Under Partial Occlusion Using Part-Based Ensemble Learning""]",99.7,"{""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 3, ""Matematika"": 1}"
Hydraulic Models for Soil and Water Management,Innovative Numerical Models for Richards Equation,Matematika,5,"[""Boundary interface water infiltration into layered soils using dual reciprocity methods"", ""Soil Physical Characteristics and Saturated Hydraulic Conductivity in the Landform of Barito Delta, Kalimantan, Indonesia"", ""An Iterative Dual Reciprocity Method for a Class of Infiltration Problems in Two-Layered Soils with Different Types of Root-Water Uptake""]",48.8,"{""Matematika"": 4, ""Fisika"": 1}"
Hydrogels and Bioprinting in Tissue Engineering,3D Printed Scaffolds in Bone Tissue Engineering,Fisika,5,"[""A facile technique for overcoming seeding barriers of hydrophobic polycaprolactone/hydroxyapatite-based nanofibers for bone tissue engineering"", ""Development of a local drug delivery system for promoting the regeneration of infective bone defects: composite films with controlled properties"", ""Direct ink writing of 3D scaffold polymeric-bioceramic from sand lobster shells (Panulirus homarus) waste as a sustainable resouce for enhancing in vitro bioactivity""]",99.0,"{""Matematika"": 1, ""Kimia"": 1, ""Fisika"": 3}"
